UNHALTED_CORE_CYCLES,0x53003c
UNC_C_RXC_IPQ1_REJECT.ANY0,0x123
UNC_C_RXC_IPQ1_REJECT.HA,0x223
UNC_C_RXC_IPQ1_REJECT.LLC_OR_SF_WAY,0x2023
UNC_C_RXC_IPQ1_REJECT.LLC_VICTIM,0x423
UNC_C_RXC_IPQ1_REJECT.PA_MATCH,0x8023
UNC_C_RXC_IPQ1_REJECT.SF_VICTIM,0x823
UNC_C_RXC_IPQ1_REJECT.VICTIM,0x1023
UNC_C_RXC_IRQ0_REJECT.AD_REQ_VN0,0x118
UNC_C_RXC_IRQ0_REJECT.AD_RSP_VN0,0x218
UNC_C_RXC_IRQ0_REJECT.AK_NON_UPI,0x4018
UNC_C_RXC_IRQ0_REJECT.BL_NCB_VN0,0x1018
UNC_C_RXC_IRQ0_REJECT.BL_NCS_VN0,0x2018
UNC_C_RXC_IRQ0_REJECT.BL_RSP_VN0,0x418
UNC_C_RXC_IRQ0_REJECT.BL_WB_VN0,0x818
UNC_C_RXC_IRQ0_REJECT.IV_NON_UPI,0x8018
UNC_C_RXC_IRQ1_REJECT.ALLOW_SNP,0x4019
UNC_C_RXC_IRQ1_REJECT.ANY0,0x119
UNC_C_RXC_IRQ1_REJECT.HA,0x219
UNC_C_RXC_IRQ1_REJECT.LLC_OR_SF_WAY,0x2019
UNC_C_RXC_IRQ1_REJECT.LLC_VICTIM,0x419
UNC_C_RXC_IRQ1_REJECT.PA_MATCH,0x8019
UNC_C_RXC_IRQ1_REJECT.SF_VICTIM,0x819
UNC_C_RXC_IRQ1_REJECT.VICTIM,0x1019
UNC_C_RXC_ISMQ0_REJECT.AD_REQ_VN0,0x124
UNC_C_RXC_ISMQ0_REJECT.AD_RSP_VN0,0x224
UNC_C_RXC_ISMQ0_REJECT.AK_NON_UPI,0x4024
UNC_C_RXC_ISMQ0_REJECT.BL_NCB_VN0,0x1024
UNC_C_RXC_ISMQ0_REJECT.BL_NCS_VN0,0x2024
UNC_C_RXC_ISMQ0_REJECT.BL_RSP_VN0,0x424
UNC_C_RXC_ISMQ0_REJECT.BL_WB_VN0,0x824
