UNHALTED_CORE_CYCLES,0x53003c
UNC_C_SNOOP_RESP.RSPIFWD,0x45c
UNC_C_SNOOP_RESP.RSPS,0x25c
UNC_C_SNOOP_RESP.RSPSFWD,0x85c
UNC_C_SNOOP_RESP.RSP_FWD_WB,0x205c
UNC_C_SNOOP_RESP.RSP_WBWB,0x105c
UNC_C_SNOOP_RESP_LOCAL.RSPFWD,0x805d
UNC_C_SNOOP_RESP_LOCAL.RSPI,0x15d
UNC_C_SNOOP_RESP_LOCAL.RSPIFWD,0x45d
UNC_C_SNOOP_RESP_LOCAL.RSPS,0x25d
UNC_C_SNOOP_RESP_LOCAL.RSPSFWD,0x85d
UNC_C_SNOOP_RESP_LOCAL.RSP_FWD_WB,0x205d
UNC_C_SNOOP_RESP_LOCAL.RSP_WB,0x105d
UNC_C_STALL_NO_TXR_HORZ_CRD_AD_AG0.TGR0,0x1d0
UNC_C_STALL_NO_TXR_HORZ_CRD_AD_AG0.TGR1,0x2d0
UNC_C_STALL_NO_TXR_HORZ_CRD_AD_AG0.TGR2,0x4d0
UNC_C_STALL_NO_TXR_HORZ_CRD_AD_AG0.TGR3,0x8d0
UNC_C_STALL_NO_TXR_HORZ_CRD_AD_AG0.TGR4,0x10d0
UNC_C_STALL_NO_TXR_HORZ_CRD_AD_AG0.TGR5,0x20d0
UNC_C_STALL_NO_TXR_HORZ_CRD_AD_AG1.TGR0,0x1d2
UNC_C_STALL_NO_TXR_HORZ_CRD_AD_AG1.TGR1,0x2d2
UNC_C_STALL_NO_TXR_HORZ_CRD_AD_AG1.TGR2,0x4d2
UNC_C_STALL_NO_TXR_HORZ_CRD_AD_AG1.TGR3,0x8d2
UNC_C_STALL_NO_TXR_HORZ_CRD_AD_AG1.TGR4,0x10d2
UNC_C_STALL_NO_TXR_HORZ_CRD_AD_AG1.TGR5,0x20d2
UNC_C_STALL_NO_TXR_HORZ_CRD_BL_AG0.TGR0,0x1d4
UNC_C_STALL_NO_TXR_HORZ_CRD_BL_AG0.TGR1,0x2d4
UNC_C_STALL_NO_TXR_HORZ_CRD_BL_AG0.TGR2,0x4d4
UNC_C_STALL_NO_TXR_HORZ_CRD_BL_AG0.TGR3,0x8d4
UNC_C_STALL_NO_TXR_HORZ_CRD_BL_AG0.TGR4,0x10d4
UNC_C_STALL_NO_TXR_HORZ_CRD_BL_AG0.TGR5,0x20d4
UNC_C_STALL_NO_TXR_HORZ_CRD_BL_AG1.TGR0,0x1d6
UNC_C_STALL_NO_TXR_HORZ_CRD_BL_AG1.TGR1,0x2d6
UNC_C_STALL_NO_TXR_HORZ_CRD_BL_AG1.TGR2,0x4d6
UNC_C_STALL_NO_TXR_HORZ_CRD_BL_AG1.TGR3,0x8d6
UNC_C_STALL_NO_TXR_HORZ_CRD_BL_AG1.TGR4,0x10d6
UNC_C_STALL_NO_TXR_HORZ_CRD_BL_AG1.TGR5,0x20d6
UNC_C_TOR_INSERTS.ALL_HIT,0x1535
UNC_C_TOR_INSERTS.ALL_IO_IA,0x3535
UNC_C_TOR_INSERTS.ALL_MISS,0x2535
UNC_C_TOR_INSERTS.EVICT,0x235
UNC_C_TOR_INSERTS.HIT,0x1035
UNC_C_TOR_INSERTS.IA,0x3135
UNC_C_TOR_INSERTS.IA_HIT,0x1135
UNC_C_TOR_INSERTS.IA_MISS,0x2135
UNC_C_TOR_INSERTS.IO,0x3435
UNC_C_TOR_INSERTS.IO_HIT,0x1435
UNC_C_TOR_INSERTS.IO_MISS,0x2435
UNC_C_TOR_INSERTS.MISS,0x2035
UNC_C_TOR_INSERTS.IPQ,0x835
UNC_C_TOR_INSERTS.IRQ,0x135
UNC_C_TOR_INSERTS.PRQ,0x435
UNC_C_TOR_OCCUPANCY.ALL,0x3736
UNC_C_TOR_OCCUPANCY.ALL_HIT,0x1736
UNC_C_TOR_OCCUPANCY.ALL_MISS,0x2736
UNC_C_TOR_OCCUPANCY.EVICT,0x236
UNC_C_TOR_OCCUPANCY.HIT,0x1036
UNC_C_TOR_OCCUPANCY.IA,0x3136
UNC_C_TOR_OCCUPANCY.IA_HIT,0x1136
UNC_C_TOR_OCCUPANCY.IA_MISS,0x2136
UNC_C_TOR_OCCUPANCY.IO,0x3436
UNC_C_TOR_OCCUPANCY.IO_HIT,0x1436
UNC_C_TOR_OCCUPANCY.IO_MISS,0x2436
UNC_C_TOR_OCCUPANCY.MISS,0x2036
UNC_C_TOR_OCCUPANCY.IPQ,0x836
UNC_C_TOR_OCCUPANCY.IRQ,0x136
UNC_C_TOR_OCCUPANCY.PRQ,0x436
UNC_C_TXR_HORZ_ADS_USED.AD_BNC,0x19d
UNC_C_TXR_HORZ_ADS_USED.AD_CRD,0x109d
UNC_C_TXR_HORZ_ADS_USED.AK_BNC,0x29d
UNC_C_TXR_HORZ_ADS_USED.BL_BNC,0x49d
UNC_C_TXR_HORZ_ADS_USED.BL_CRD,0x409d
UNC_C_TXR_HORZ_BYPASS.AD_BNC,0x19f
UNC_C_TXR_HORZ_BYPASS.AD_CRD,0x109f
UNC_C_TXR_HORZ_BYPASS.AK_BNC,0x29f
UNC_C_TXR_HORZ_BYPASS.BL_BNC,0x49f
UNC_C_TXR_HORZ_BYPASS.BL_CRD,0x409f
UNC_C_TXR_HORZ_BYPASS.IV_BNC,0x89f
UNC_C_TXR_HORZ_CYCLES_FULL.AD_BNC,0x196
UNC_C_TXR_HORZ_CYCLES_FULL.AD_CRD,0x1096
UNC_C_TXR_HORZ_CYCLES_FULL.AK_BNC,0x296
UNC_C_TXR_HORZ_CYCLES_FULL.BL_BNC,0x496
UNC_C_TXR_HORZ_CYCLES_FULL.BL_CRD,0x4096
UNC_C_TXR_HORZ_CYCLES_FULL.IV_BNC,0x896
UNC_C_TXR_HORZ_CYCLES_NE.AD_BNC,0x197
UNC_C_TXR_HORZ_CYCLES_NE.AD_CRD,0x1097
UNC_C_TXR_HORZ_CYCLES_NE.AK_BNC,0x297
UNC_C_TXR_HORZ_CYCLES_NE.BL_BNC,0x497
UNC_C_TXR_HORZ_CYCLES_NE.BL_CRD,0x4097
UNC_C_TXR_HORZ_CYCLES_NE.IV_BNC,0x897
UNC_C_TXR_HORZ_INSERTS.AD_BNC,0x195
UNC_C_TXR_HORZ_INSERTS.AD_CRD,0x1095
UNC_C_TXR_HORZ_INSERTS.AK_BNC,0x295
UNC_C_TXR_HORZ_INSERTS.BL_BNC,0x495
UNC_C_TXR_HORZ_INSERTS.BL_CRD,0x4095
UNC_C_TXR_HORZ_INSERTS.IV_BNC,0x895
UNC_C_TXR_HORZ_NACK.AD_BNC,0x199
UNC_C_TXR_HORZ_NACK.AD_CRD,0x2099
UNC_C_TXR_HORZ_NACK.AK_BNC,0x299
UNC_C_TXR_HORZ_NACK.BL_BNC,0x499
UNC_C_TXR_HORZ_NACK.BL_CRD,0x4099
UNC_C_TXR_HORZ_NACK.IV_BNC,0x899
UNC_C_TXR_HORZ_OCCUPANCY.AD_BNC,0x194
UNC_C_TXR_HORZ_OCCUPANCY.AD_CRD,0x1094
UNC_C_TXR_HORZ_OCCUPANCY.AK_BNC,0x294
UNC_C_TXR_HORZ_OCCUPANCY.BL_BNC,0x494
UNC_C_TXR_HORZ_OCCUPANCY.BL_CRD,0x4094
UNC_C_TXR_HORZ_OCCUPANCY.IV_BNC,0x894
UNC_C_TXR_HORZ_STARVED.AD_BNC,0x19b
UNC_C_TXR_HORZ_STARVED.AK_BNC,0x29b
UNC_C_TXR_HORZ_STARVED.BL_BNC,0x49b
UNC_C_TXR_HORZ_STARVED.IV_BNC,0x89b
UNC_C_TXR_VERT_ADS_USED.AD_AG0,0x19c
UNC_C_TXR_VERT_ADS_USED.AD_AG1,0x109c
UNC_C_TXR_VERT_ADS_USED.AK_AG0,0x29c
UNC_C_TXR_VERT_ADS_USED.AK_AG1,0x209c
UNC_C_TXR_VERT_ADS_USED.BL_AG0,0x49c
UNC_C_TXR_VERT_ADS_USED.BL_AG1,0x409c
UNC_C_TXR_VERT_BYPASS.AD_AG0,0x19e
UNC_C_TXR_VERT_BYPASS.AD_AG1,0x109e
UNC_C_TXR_VERT_BYPASS.AK_AG0,0x29e
UNC_C_TXR_VERT_BYPASS.AK_AG1,0x209e
UNC_C_TXR_VERT_BYPASS.BL_AG0,0x49e
UNC_C_TXR_VERT_BYPASS.BL_AG1,0x409e
UNC_C_TXR_VERT_BYPASS.IV,0x89e
UNC_C_TXR_VERT_CYCLES_FULL.AD_AG0,0x192
UNC_C_TXR_VERT_CYCLES_FULL.AD_AG1,0x1092
UNC_C_TXR_VERT_CYCLES_FULL.AK_AG0,0x292
UNC_C_TXR_VERT_CYCLES_FULL.AK_AG1,0x2092
UNC_C_TXR_VERT_CYCLES_FULL.BL_AG0,0x492
UNC_C_TXR_VERT_CYCLES_FULL.BL_AG1,0x4092
UNC_C_TXR_VERT_CYCLES_FULL.IV,0x892
UNC_C_TXR_VERT_CYCLES_NE.AD_AG0,0x193
UNC_C_TXR_VERT_CYCLES_NE.AD_AG1,0x1093
UNC_C_TXR_VERT_CYCLES_NE.AK_AG0,0x293
UNC_C_TXR_VERT_CYCLES_NE.AK_AG1,0x2093
UNC_C_TXR_VERT_CYCLES_NE.BL_AG0,0x493
UNC_C_TXR_VERT_CYCLES_NE.BL_AG1,0x4093
UNC_C_TXR_VERT_CYCLES_NE.IV,0x893
UNC_C_TXR_VERT_INSERTS.AD_AG0,0x191
UNC_C_TXR_VERT_INSERTS.AD_AG1,0x1091
UNC_C_TXR_VERT_INSERTS.AK_AG0,0x291
UNC_C_TXR_VERT_INSERTS.AK_AG1,0x2091
UNC_C_TXR_VERT_INSERTS.BL_AG0,0x491
UNC_C_TXR_VERT_INSERTS.BL_AG1,0x4091
UNC_C_TXR_VERT_INSERTS.IV,0x891
UNC_C_TXR_VERT_NACK.AD_AG0,0x198
UNC_C_TXR_VERT_NACK.AD_AG1,0x1098
UNC_C_TXR_VERT_NACK.AK_AG0,0x298
UNC_C_TXR_VERT_NACK.AK_AG1,0x2098
UNC_C_TXR_VERT_NACK.BL_AG0,0x498
UNC_C_TXR_VERT_NACK.BL_AG1,0x4098
UNC_C_TXR_VERT_NACK.IV,0x898
UNC_C_TXR_VERT_OCCUPANCY.AD_AG0,0x190
UNC_C_TXR_VERT_OCCUPANCY.AD_AG1,0x1090
UNC_C_TXR_VERT_OCCUPANCY.AK_AG0,0x290
UNC_C_TXR_VERT_OCCUPANCY.AK_AG1,0x2090
UNC_C_TXR_VERT_OCCUPANCY.BL_AG0,0x490
UNC_C_TXR_VERT_OCCUPANCY.BL_AG1,0x4090
UNC_C_TXR_VERT_OCCUPANCY.IV,0x890
UNC_C_TXR_VERT_STARVED.AD_AG0,0x19a
UNC_C_TXR_VERT_STARVED.AD_AG1,0x109a
UNC_C_TXR_VERT_STARVED.AK_AG0,0x29a
UNC_C_TXR_VERT_STARVED.AK_AG1,0x209a
UNC_C_TXR_VERT_STARVED.BL_AG0,0x49a
UNC_C_TXR_VERT_STARVED.BL_AG1,0x409a
UNC_C_TXR_VERT_STARVED.IV,0x89a
UNC_C_VERT_RING_AD_IN_USE.DN_EVEN,0x4a6
UNC_C_VERT_RING_AD_IN_USE.DN_ODD,0x8a6
UNC_C_VERT_RING_AD_IN_USE.UP_EVEN,0x1a6
UNC_C_VERT_RING_AD_IN_USE.UP_ODD,0x2a6
UNC_C_VERT_RING_AK_IN_USE.DN_EVEN,0x4a8
UNC_C_VERT_RING_AK_IN_USE.DN_ODD,0x8a8
UNC_C_VERT_RING_AK_IN_USE.UP_EVEN,0x1a8
UNC_C_VERT_RING_AK_IN_USE.UP_ODD,0x2a8
UNC_C_VERT_RING_BL_IN_USE.DN_EVEN,0x4aa
UNC_C_VERT_RING_BL_IN_USE.DN_ODD,0x8aa
UNC_C_VERT_RING_BL_IN_USE.UP_EVEN,0x1aa
UNC_C_VERT_RING_BL_IN_USE.UP_ODD,0x2aa
UNC_C_VERT_RING_IV_IN_USE.DN,0x4ac
UNC_C_VERT_RING_IV_IN_USE.UP,0x1ac
UNC_C_WB_PUSH_MTOI.LLC,0x156
UNC_C_WB_PUSH_MTOI.MEM,0x256
UNC_C_WRITE_NO_CREDITS.EDC0_SMI2,0x45a
UNC_C_WRITE_NO_CREDITS.EDC1_SMI3,0x85a
UNC_C_WRITE_NO_CREDITS.EDC2_SMI4,0x105a
UNC_C_WRITE_NO_CREDITS.EDC3_SMI5,0x205a
UNC_C_WRITE_NO_CREDITS.MC0_SMI0,0x15a
UNC_C_WRITE_NO_CREDITS.MC1_SMI1,0x25a
UNC_C_XSNP_RESP.ANY_RSPI_FWDFE,0xe432
UNC_C_XSNP_RESP.ANY_RSPS_FWDFE,0xe232
UNC_C_XSNP_RESP.ANY_RSPS_FWDM,0xe832
UNC_C_XSNP_RESP.ANY_RSP_HITFSE,0xe132
UNC_C_XSNP_RESP.CORE_RSPI_FWDFE,0x4432
UNC_C_XSNP_RESP.CORE_RSPI_FWDM,0x5032
UNC_C_XSNP_RESP.CORE_RSPS_FWDFE,0x4232
UNC_C_XSNP_RESP.CORE_RSPS_FWDM,0x4832
UNC_C_XSNP_RESP.CORE_RSP_HITFSE,0x4132
UNC_C_XSNP_RESP.EVICT_RSPI_FWDFE,0x8432
UNC_C_XSNP_RESP.EVICT_RSPI_FWDM,0x9032
UNC_C_XSNP_RESP.EVICT_RSPS_FWDFE,0x8232
UNC_C_XSNP_RESP.EVICT_RSPS_FWDM,0x8832
UNC_C_XSNP_RESP.EVICT_RSP_HITFSE,0x8132
UNC_C_XSNP_RESP.EXT_RSPI_FWDFE,0x2432
UNC_C_XSNP_RESP.EXT_RSPI_FWDM,0x3032
UNC_C_XSNP_RESP.EXT_RSPS_FWDFE,0x2232
UNC_C_XSNP_RESP.EXT_RSPS_FWDM,0x2832
UNC_C_XSNP_RESP.EXT_RSP_HITFSE,0x2132
UNC_C_AG0_AD_CRD_ACQUIRED.TGR0,0x180
UNC_C_AG0_AD_CRD_ACQUIRED.TGR1,0x280
UNC_C_AG0_AD_CRD_ACQUIRED.TGR2,0x480
UNC_C_AG0_AD_CRD_ACQUIRED.TGR3,0x880
UNC_C_AG0_AD_CRD_ACQUIRED.TGR4,0x1080
UNC_C_AG0_AD_CRD_ACQUIRED.TGR5,0x2080
UNC_C_AG0_AD_CRD_OCCUPANCY.TGR0,0x182
UNC_C_AG0_AD_CRD_OCCUPANCY.TGR1,0x282
UNC_C_AG0_AD_CRD_OCCUPANCY.TGR2,0x482
UNC_C_AG0_AD_CRD_OCCUPANCY.TGR3,0x882
UNC_C_AG0_AD_CRD_OCCUPANCY.TGR4,0x1082
UNC_C_AG0_AD_CRD_OCCUPANCY.TGR5,0x2082
UNC_C_AG0_BL_CRD_ACQUIRED.TGR0,0x188
UNC_C_AG0_BL_CRD_ACQUIRED.TGR1,0x288
UNC_C_AG0_BL_CRD_ACQUIRED.TGR2,0x488
UNC_C_AG0_BL_CRD_ACQUIRED.TGR3,0x888
UNC_C_AG0_BL_CRD_ACQUIRED.TGR4,0x1088
UNC_C_AG0_BL_CRD_ACQUIRED.TGR5,0x2088
UNC_C_AG0_BL_CRD_OCCUPANCY.TGR0,0x18a
UNC_C_AG0_BL_CRD_OCCUPANCY.TGR1,0x28a
UNC_C_AG0_BL_CRD_OCCUPANCY.TGR2,0x48a
UNC_C_AG0_BL_CRD_OCCUPANCY.TGR3,0x88a
UNC_C_AG0_BL_CRD_OCCUPANCY.TGR4,0x108a
UNC_C_AG0_BL_CRD_OCCUPANCY.TGR5,0x208a
UNC_C_AG1_AD_CRD_ACQUIRED.TGR0,0x184
UNC_C_AG1_AD_CRD_ACQUIRED.TGR1,0x284
UNC_C_AG1_AD_CRD_ACQUIRED.TGR2,0x484
UNC_C_AG1_AD_CRD_ACQUIRED.TGR3,0x884
UNC_C_AG1_AD_CRD_ACQUIRED.TGR4,0x1084
UNC_C_AG1_AD_CRD_ACQUIRED.TGR5,0x2084
UNC_C_AG1_AD_CRD_OCCUPANCY.TGR0,0x186
UNC_C_AG1_AD_CRD_OCCUPANCY.TGR1,0x286
UNC_C_AG1_AD_CRD_OCCUPANCY.TGR2,0x486
UNC_C_AG1_AD_CRD_OCCUPANCY.TGR3,0x886
UNC_C_AG1_AD_CRD_OCCUPANCY.TGR4,0x1086
UNC_C_AG1_AD_CRD_OCCUPANCY.TGR5,0x2086
UNC_C_AG1_BL_CRD_OCCUPANCY.TGR0,0x18e
UNC_C_AG1_BL_CRD_OCCUPANCY.TGR1,0x28e
UNC_C_AG1_BL_CRD_OCCUPANCY.TGR2,0x48e
UNC_C_AG1_BL_CRD_OCCUPANCY.TGR3,0x88e
UNC_C_AG1_BL_CRD_OCCUPANCY.TGR4,0x108e
UNC_C_AG1_BL_CRD_OCCUPANCY.TGR5,0x208e
UNC_C_AG1_BL_CREDITS_ACQUIRED.TGR0,0x18c
UNC_C_AG1_BL_CREDITS_ACQUIRED.TGR1,0x28c
UNC_C_AG1_BL_CREDITS_ACQUIRED.TGR2,0x48c
UNC_C_AG1_BL_CREDITS_ACQUIRED.TGR3,0x88c
UNC_C_AG1_BL_CREDITS_ACQUIRED.TGR4,0x108c
UNC_C_AG1_BL_CREDITS_ACQUIRED.TGR5,0x208c
UNC_C_BYPASS_CHA_IMC.INTERMEDIATE,0x257
UNC_C_BYPASS_CHA_IMC.NOT_TAKEN,0x457
UNC_C_BYPASS_CHA_IMC.TAKEN,0x157
UNC_C_CLOCKTICKS,0x0
UNC_C_CMS_CLOCKTICKS,0xc0
UNC_C_CORE_PMA.C1_STATE,0x117
UNC_C_CORE_PMA.C1_TRANSITION,0x217
UNC_C_CORE_PMA.C6_STATE,0x417
UNC_C_CORE_PMA.C6_TRANSITION,0x817
UNC_C_CORE_PMA.GV,0x1017
UNC_C_CORE_SNP.ANY_GTONE,0xe233
UNC_C_CORE_SNP.ANY_ONE,0xe133
UNC_C_CORE_SNP.ANY_REMOTE,0xe433
UNC_C_CORE_SNP.CORE_GTONE,0x4233
UNC_C_CORE_SNP.CORE_ONE,0x4133
UNC_C_CORE_SNP.CORE_REMOTE,0x4433
UNC_C_CORE_SNP.EVICT_GTONE,0x8233
UNC_C_CORE_SNP.EVICT_ONE,0x8133
UNC_C_CORE_SNP.EVICT_REMOTE,0x8433
UNC_C_CORE_SNP.EXT_GTONE,0x2233
UNC_C_CORE_SNP.EXT_ONE,0x2133
UNC_C_CORE_SNP.EXT_REMOTE,0x2433
UNC_C_COUNTER0_OCCUPANCY,0x1f
UNC_C_DIR_LOOKUP.NO_SNP,0x253
UNC_C_DIR_LOOKUP.SNP,0x153
UNC_C_DIR_UPDATE.HA,0x154
UNC_C_DIR_UPDATE.TOR,0x254
UNC_C_EGRESS_ORDERING.IV_SNOOPGO_DN,0x4ae
UNC_C_EGRESS_ORDERING.IV_SNOOPGO_UP,0x1ae
UNC_C_FAST_ASSERTED.HORZ,0x2a5
UNC_C_FAST_ASSERTED.VERT,0x1a5
UNC_C_HITME_HIT.EX_RDS,0x15f
UNC_C_HITME_HIT.SHARED_OWNREQ,0x45f
UNC_C_HITME_HIT.WBMTOE,0x85f
UNC_C_HITME_HIT.WBMTOI_OR_S,0x105f
UNC_C_HITME_LOOKUP.READ,0x15e
UNC_C_HITME_LOOKUP.WRITE,0x25e
UNC_C_HITME_MISS.NOTSHARED_RDINVOWN,0x4060
UNC_C_HITME_MISS.READ_OR_INV,0x8060
UNC_C_HITME_MISS.SHARED_RDINVOWN,0x2060
UNC_C_HITME_UPDATE.DEALLOCATE,0x1061
UNC_C_HITME_UPDATE.DEALLOCATE_RSPFWDI_LOC,0x161
UNC_C_HITME_UPDATE.RDINVOWN,0x861
UNC_C_HITME_UPDATE.RSPFWDI_REM,0x261
UNC_C_HITME_UPDATE.SHARED,0x461
UNC_C_HORZ_RING_AD_IN_USE.LEFT_EVEN,0x1a7
UNC_C_HORZ_RING_AD_IN_USE.LEFT_ODD,0x2a7
UNC_C_HORZ_RING_AD_IN_USE.RIGHT_EVEN,0x4a7
UNC_C_HORZ_RING_AD_IN_USE.RIGHT_ODD,0x8a7
UNC_C_HORZ_RING_AK_IN_USE.LEFT_EVEN,0x1a9
UNC_C_HORZ_RING_AK_IN_USE.LEFT_ODD,0x2a9
UNC_C_HORZ_RING_AK_IN_USE.RIGHT_EVEN,0x4a9
UNC_C_HORZ_RING_AK_IN_USE.RIGHT_ODD,0x8a9
UNC_C_HORZ_RING_BL_IN_USE.LEFT_EVEN,0x1ab
UNC_C_HORZ_RING_BL_IN_USE.LEFT_ODD,0x2ab
UNC_C_HORZ_RING_BL_IN_USE.RIGHT_EVEN,0x4ab
UNC_C_HORZ_RING_BL_IN_USE.RIGHT_ODD,0x8ab
UNC_C_HORZ_RING_IV_IN_USE.LEFT,0x1ad
UNC_C_HORZ_RING_IV_IN_USE.RIGHT,0x4ad
UNC_C_IMC_READS_COUNT.NORMAL,0x159
UNC_C_IMC_READS_COUNT.PRIORITY,0x259
UNC_C_IMC_WRITES_COUNT.FULL,0x15b
UNC_C_IMC_WRITES_COUNT.FULL_MIG,0x105b
UNC_C_IMC_WRITES_COUNT.FULL_PRIORITY,0x45b
UNC_C_IMC_WRITES_COUNT.PARTIAL,0x25b
UNC_C_IMC_WRITES_COUNT.PARTIAL_MIG,0x205b
UNC_C_IMC_WRITES_COUNT.PARTIAL_PRIORITY,0x85b
UNC_C_IODC_ALLOC.INVITOM,0x162
UNC_C_IODC_ALLOC.IODCFULL,0x262
UNC_C_IODC_ALLOC.OSBGATED,0x462
UNC_C_IODC_DEALLOC.ALL,0x1063
UNC_C_IODC_DEALLOC.SNPOUT,0x863
UNC_C_IODC_DEALLOC.WBMTOE,0x163
UNC_C_IODC_DEALLOC.WBMTOI,0x263
UNC_C_IODC_DEALLOC.WBPUSHMTOI,0x463
UNC_C_LLC_LOOKUP.ANY,0x1134
UNC_C_LLC_LOOKUP.DATA_READ,0x334
UNC_C_LLC_LOOKUP.LOCAL,0x3134
UNC_C_LLC_LOOKUP.REMOTE,0x9134
UNC_C_LLC_LOOKUP.REMOTE_SNOOP,0x934
UNC_C_LLC_LOOKUP.WRITE,0x534
UNC_C_LLC_LOOKUP.STATE_LLC_I,0x1134
UNC_C_LLC_LOOKUP.STATE_SF_S,0x1134
UNC_C_LLC_LOOKUP.STATE_SF_E,0x1134
UNC_C_LLC_LOOKUP.STATE_SF_H,0x1134
UNC_C_LLC_LOOKUP.STATE_LLC_S,0x1134
UNC_C_LLC_LOOKUP.STATE_LLC_E,0x1134
UNC_C_LLC_LOOKUP.STATE_LLC_M,0x1134
UNC_C_LLC_LOOKUP.STATE_LLC_F,0x1134
UNC_C_LLC_LOOKUP.STATE_CACHE_ANY,0x1134
UNC_C_LLC_VICTIMS.LOCAL_ALL,0x2f37
UNC_C_LLC_VICTIMS.LOCAL_E,0x2237
UNC_C_LLC_VICTIMS.LOCAL_F,0x2837
UNC_C_LLC_VICTIMS.LOCAL_M,0x2137
UNC_C_LLC_VICTIMS.LOCAL_S,0x2437
UNC_C_LLC_VICTIMS.REMOTE_ALL,0x8f37
UNC_C_LLC_VICTIMS.REMOTE_E,0x8237
UNC_C_LLC_VICTIMS.REMOTE_F,0x8837
UNC_C_LLC_VICTIMS.REMOTE_M,0x8137
UNC_C_LLC_VICTIMS.REMOTE_S,0x8437
UNC_C_LLC_VICTIMS.TOTAL_E,0xa237
UNC_C_LLC_VICTIMS.TOTAL_F,0xa837
UNC_C_LLC_VICTIMS.TOTAL_M,0xa137
UNC_C_LLC_VICTIMS.TOTAL_S,0xa437
UNC_C_MISC.CV0_PREF_MISS,0x2039
UNC_C_MISC.CV0_PREF_VIC,0x1039
UNC_C_MISC.RFO_HIT_S,0x839
UNC_C_MISC.RSPI_WAS_FSE,0x139
UNC_C_MISC.WC_ALIASING,0x239
UNC_C_OSB,0x55
UNC_C_READ_NO_CREDITS.EDC0_SMI2,0x458
UNC_C_READ_NO_CREDITS.EDC1_SMI3,0x858
UNC_C_READ_NO_CREDITS.EDC2_SMI4,0x1058
UNC_C_READ_NO_CREDITS.EDC3_SMI5,0x2058
UNC_C_READ_NO_CREDITS.MC0_SMI0,0x158
UNC_C_READ_NO_CREDITS.MC1_SMI1,0x258
UNC_C_REQUESTS.INVITOE_LOCAL,0x1050
UNC_C_REQUESTS.INVITOE_REMOTE,0x2050
UNC_C_REQUESTS.READS,0x350
UNC_C_REQUESTS.READS_LOCAL,0x150
UNC_C_REQUESTS.READS_REMOTE,0x250
UNC_C_REQUESTS.WRITES,0xc50
UNC_C_REQUESTS.WRITES_LOCAL,0x450
UNC_C_REQUESTS.WRITES_REMOTE,0x850
UNC_C_RING_BOUNCES_HORZ.AD,0x1a1
UNC_C_RING_BOUNCES_HORZ.AK,0x2a1
UNC_C_RING_BOUNCES_HORZ.BL,0x4a1
UNC_C_RING_BOUNCES_HORZ.IV,0x8a1
UNC_C_RING_BOUNCES_VERT.AD,0x1a0
UNC_C_RING_BOUNCES_VERT.AK,0x2a0
UNC_C_RING_BOUNCES_VERT.BL,0x4a0
UNC_C_RING_BOUNCES_VERT.IV,0x8a0
UNC_C_RING_SINK_STARVED_HORZ.AD,0x1a3
UNC_C_RING_SINK_STARVED_HORZ.AK,0x2a3
UNC_C_RING_SINK_STARVED_HORZ.AK_AG1,0x20a3
UNC_C_RING_SINK_STARVED_HORZ.BL,0x4a3
UNC_C_RING_SINK_STARVED_HORZ.IV,0x8a3
UNC_C_RING_SINK_STARVED_VERT.AD,0x1a2
UNC_C_RING_SINK_STARVED_VERT.AK,0x2a2
UNC_C_RING_SINK_STARVED_VERT.BL,0x4a2
UNC_C_RING_SINK_STARVED_VERT.IV,0x8a2
UNC_C_RING_SRC_THRTL,0xa4
UNC_C_RXC_INSERTS.IPQ,0x413
UNC_C_RXC_INSERTS.IRQ,0x113
UNC_C_RXC_INSERTS.IRQ_REJ,0x213
UNC_C_RXC_INSERTS.PRQ,0x1013
UNC_C_RXC_INSERTS.PRQ_REJ,0x2013
UNC_C_RXC_INSERTS.RRQ,0x4013
UNC_C_RXC_INSERTS.WBQ,0x8013
UNC_C_RXC_IPQ0_REJECT.AD_REQ_VN0,0x122
UNC_C_RXC_IPQ0_REJECT.AD_RSP_VN0,0x222
UNC_C_RXC_IPQ0_REJECT.AK_NON_UPI,0x4022
UNC_C_RXC_IPQ0_REJECT.BL_NCB_VN0,0x1022
UNC_C_RXC_IPQ0_REJECT.BL_NCS_VN0,0x2022
UNC_C_RXC_IPQ0_REJECT.BL_RSP_VN0,0x422
UNC_C_RXC_IPQ0_REJECT.BL_WB_VN0,0x822
UNC_C_RXC_IPQ0_REJECT.IV_NON_UPI,0x8022
UNC_C_RXC_IPQ1_REJECT.ALLOW_SNP,0x4023
UNC_C_RXC_IPQ1_REJECT.ANY0,0x123
UNC_C_RXC_IPQ1_REJECT.HA,0x223
UNC_C_RXC_IPQ1_REJECT.LLC_OR_SF_WAY,0x2023
UNC_C_RXC_IPQ1_REJECT.LLC_VICTIM,0x423
UNC_C_RXC_IPQ1_REJECT.PA_MATCH,0x8023
UNC_C_RXC_IPQ1_REJECT.SF_VICTIM,0x823
UNC_C_RXC_IPQ1_REJECT.VICTIM,0x1023
UNC_C_RXC_IRQ0_REJECT.AD_REQ_VN0,0x118
UNC_C_RXC_IRQ0_REJECT.AD_RSP_VN0,0x218
UNC_C_RXC_IRQ0_REJECT.AK_NON_UPI,0x4018
UNC_C_RXC_IRQ0_REJECT.BL_NCB_VN0,0x1018
UNC_C_RXC_IRQ0_REJECT.BL_NCS_VN0,0x2018
UNC_C_RXC_IRQ0_REJECT.BL_RSP_VN0,0x418
UNC_C_RXC_IRQ0_REJECT.BL_WB_VN0,0x818
